******************************************************************
* Optimized Ganymede Orbiter Trajectory (60s step)
******************************************************************
Title: Ganymede Orbiter Analysis
Planet: Jupiter
Coordinates: PEI
Columns: JDCT, X, Y, Z
Format: CSV
******************************************************************
$$BEGIN
2460311.271527778, 792368.104546, -653041.492791, -298810.928342
2460311.272222222, 792734.616882, -652607.491788, -298518.031666
2460311.272916667, 793098.231995, -652173.239703, -298227.544726
2460311.273611111, 793459.036920, -651738.736369, -297939.554604
2460311.274305556, 793817.121588, -651303.981622, -297654.145364
2460311.275000000, 794172.578733, -650868.975311, -297371.397960
2460311.275694444, 794525.503777, -650433.717290, -297091.390142
2460311.276388889, 794875.994721, -649998.207421, -296814.196367
2460311.277083333, 795224.152036, -649562.445577, -296539.887714
2460311.277777778, 795570.078542, -649126.431638, -296268.531801
2460311.278472222, 795913.879291, -648690.165495, -296000.192709
2460311.279166667, 796255.661448, -648253.647048, -295734.930910
2460311.279861111, 796595.534163, -647816.876209, -295472.803193
2460311.280555556, 796933.608451, -647379.852898, -295213.862606
2460311.281250000, 797269.997059, -646942.577049, -294958.158389
2460311.281944444, 797604.814338, -646505.048605, -294705.735919
2460311.282638889, 797938.176114, -646067.267521, -294456.636660
2460311.283333333, 798270.199550, -645629.233766, -294210.898116
2460311.284027778, 798601.003016, -645190.947318, -293968.553782
2460311.284722222, 798930.705950, -644752.408170, -293729.633114
2460311.285416667, 799259.428721, -644313.616328, -293494.161488
2460311.286111111, 799587.292492, -643874.571808, -293262.160173
2460311.286805556, 799914.419081, -643435.274644, -293033.646308
2460311.287500000, 800240.930817, -642995.724878, -292808.632881
2460311.288194444, 800566.950405, -642555.922570, -292587.128710
2460311.288888889, 800892.600781, -642115.867793, -292369.138438
2460311.289583333, 801218.004974, -641675.560633, -292154.662524
2460311.290277778, 801543.285959, -641235.001190, -291943.697242
2460311.290972222, 801868.566522, -640794.189580, -291736.234686
2460311.291666667, 802193.969113, -640353.125933, -291532.262775
2460311.292361111, 802519.615711, -639911.810392, -291331.765270
2460311.293055556, 802845.627677, -639470.243118, -291134.721789
2460311.293750000, 803172.125616, -639028.424282, -290941.107830
2460311.294444445, 803499.229243, -638586.354075, -290750.894801
2460311.295138889, 803827.057237, -638144.032700, -290564.050047
2460311.295833333, 804155.727108, -637701.460375, -290380.536889
2460311.296527778, 804485.355061, -637258.637333, -290200.314665
2460311.297222222, 804816.055859, -636815.563823, -290023.338778
2460311.297916667, 805147.942694, -636372.240109, -289849.560740
2460311.298611111, 805481.127051, -635928.666468, -289678.928235
2460311.299305555, 805815.718583, -635484.843193, -289511.385169
2460311.300000000, 806151.824978, -635040.770591, -289346.871742
2460311.300694444, 806489.551841, -634596.448986, -289185.324510
2460311.301388889, 806829.002563, -634151.878713, -289026.676461
2460311.302083333, 807170.278205, -633707.060124, -288870.857088
2460311.302777778, 807513.477380, -633261.993584, -288717.792473
2460311.303472222, 807858.696135, -632816.679472, -288567.405368
2460311.304166667, 808206.027840, -632371.118181, -288419.615285
